nct_id,drug_id,key_trial,arm_id,arm_title,term,n_affected,n_at_risk,pct
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,abdominal distension,96,1306,7.35
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,abdominal distension,31,655,4.73
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,abdominal pain,127,1306,9.72
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,abdominal pain,36,655,5.5
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,abdominal pain upper,125,1306,9.57
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,abdominal pain upper,35,655,5.34
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,constipation,305,1306,23.35
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,constipation,62,655,9.47
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,diarrhoea,411,1306,31.47
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,diarrhoea,104,655,15.88
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,dyspepsia,135,1306,10.34
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,dyspepsia,23,655,3.51
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,eructation,112,1306,8.58
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,eructation,3,655,0.46
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,gastrooesophageal reflux disease,82,1306,6.28
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,gastrooesophageal reflux disease,20,655,3.05
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,nausea,576,1306,44.1
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,nausea,114,655,17.4
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,vomiting,321,1306,24.58
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,vomiting,43,655,6.56
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,abdominal pain,3,1306,0.23
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,abdominal pain,0,655,0.0
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,constipation,1,1306,0.08
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,constipation,0,655,0.0
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,diarrhoea,1,1306,0.08
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,diarrhoea,0,655,0.0
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,nausea,1,1306,0.08
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,nausea,0,655,0.0
NCT03548935,semaglutide_sc_ob,STEP 1,EG000,Sema 2.4 mg,vomiting,4,1306,0.31
NCT03548935,semaglutide_sc_ob,STEP 1,EG001,Placebo,vomiting,0,655,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,abdominal pain,14,470,2.98
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,abdominal pain,20,469,4.26
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,abdominal pain,24,470,5.11
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,abdominal pain,24,469,5.12
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,constipation,31,470,6.6
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,constipation,21,469,4.48
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,constipation,21,470,4.47
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,constipation,27,469,5.76
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,diarrhoea,62,470,13.19
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,diarrhoea,77,469,16.42
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,diarrhoea,65,470,13.83
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,diarrhoea,54,469,11.51
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,dyspepsia,34,470,7.23
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,dyspepsia,29,469,6.18
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,dyspepsia,43,470,9.15
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,dyspepsia,31,469,6.61
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,nausea,82,470,17.45
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,nausea,90,469,19.19
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,nausea,104,470,22.13
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,nausea,84,469,17.91
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,vomiting,27,470,5.74
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,vomiting,39,469,8.32
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,vomiting,46,470,9.79
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,vomiting,39,469,8.32
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,abdominal pain,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,abdominal pain,1,469,0.21
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,abdominal pain,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,abdominal pain,0,469,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,abdominal pain upper,1,470,0.21
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,abdominal pain upper,0,469,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,abdominal pain upper,1,470,0.21
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,abdominal pain upper,0,469,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,constipation,1,470,0.21
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,constipation,0,469,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,constipation,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,constipation,0,469,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,nausea,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,nausea,1,469,0.21
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,nausea,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,nausea,0,469,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG000,5 mg Tirzepatide,vomiting,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG001,10 mg Tirzepatide,vomiting,1,469,0.21
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG002,15 mg Tirzepatide,vomiting,0,470,0.0
NCT03987919,semaglutide_sc_t2d,SURPASS-2,EG003,1 mg Semaglutide,vomiting,0,469,0.0
NCT02906930,semaglutide_oral,PIONEER 1,EG000,Oral Semaglutide 3 mg,diarrhoea,15,175,8.57
NCT02906930,semaglutide_oral,PIONEER 1,EG001,Oral Semaglutide 7 mg,diarrhoea,9,175,5.14
NCT02906930,semaglutide_oral,PIONEER 1,EG002,Oral Semaglutide 14 mg,diarrhoea,9,175,5.14
NCT02906930,semaglutide_oral,PIONEER 1,EG003,Placebo,diarrhoea,4,178,2.25
NCT02906930,semaglutide_oral,PIONEER 1,EG000,Oral Semaglutide 3 mg,nausea,14,175,8.0
NCT02906930,semaglutide_oral,PIONEER 1,EG001,Oral Semaglutide 7 mg,nausea,9,175,5.14
NCT02906930,semaglutide_oral,PIONEER 1,EG002,Oral Semaglutide 14 mg,nausea,28,175,16.0
NCT02906930,semaglutide_oral,PIONEER 1,EG003,Placebo,nausea,10,178,5.62
NCT02906930,semaglutide_oral,PIONEER 1,EG000,Oral Semaglutide 3 mg,vomiting,5,175,2.86
NCT02906930,semaglutide_oral,PIONEER 1,EG001,Oral Semaglutide 7 mg,vomiting,8,175,4.57
NCT02906930,semaglutide_oral,PIONEER 1,EG002,Oral Semaglutide 14 mg,vomiting,12,175,6.86
NCT02906930,semaglutide_oral,PIONEER 1,EG003,Placebo,vomiting,4,178,2.25
NCT02906930,semaglutide_oral,PIONEER 1,EG000,Oral Semaglutide 3 mg,abdominal pain,1,175,0.57
NCT02906930,semaglutide_oral,PIONEER 1,EG001,Oral Semaglutide 7 mg,abdominal pain,0,175,0.0
NCT02906930,semaglutide_oral,PIONEER 1,EG002,Oral Semaglutide 14 mg,abdominal pain,0,175,0.0
NCT02906930,semaglutide_oral,PIONEER 1,EG003,Placebo,abdominal pain,0,178,0.0
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,abdominal pain,24,643,3.73
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,abdominal pain,38,630,6.03
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,abdominal pain,38,636,5.97
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,abdominal pain,33,630,5.24
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,constipation,38,643,5.91
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,constipation,113,630,17.94
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,constipation,117,636,18.4
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,constipation,80,630,12.7
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,diarrhoea,51,643,7.93
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,diarrhoea,128,630,20.32
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,diarrhoea,143,636,22.48
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,diarrhoea,149,630,23.65
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,dyspepsia,31,643,4.82
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,dyspepsia,59,630,9.37
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,dyspepsia,64,636,10.06
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,dyspepsia,74,630,11.75
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,eructation,4,643,0.62
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,eructation,24,630,3.81
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,eructation,35,636,5.5
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,eructation,35,630,5.56
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,gastrooesophageal reflux disease,16,643,2.49
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,gastrooesophageal reflux disease,31,630,4.92
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,gastrooesophageal reflux disease,28,636,4.4
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,gastrooesophageal reflux disease,34,630,5.4
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,nausea,63,643,9.8
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,nausea,160,630,25.4
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG002,10 mg Tirzepatide,nausea,217,636,34.12
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG003,15 mg Tirzepatide,nausea,201,630,31.9
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG000,Placebo,vomiting,12,643,1.87
NCT04184622,tirzepatide_ob,SURMOUNT-1,EG001,5 mg Tirzepatide,vomiting,58,630,9.21
