nct_id,title,phase,status,study_type,enrollment,lead_sponsor,sponsor_class,conditions,interventions,has_results,start_date,primary_completion,matched_term,matched_generic,attributed_term,ambiguous
NCT04572165,Epidemiological Assessment of the Risk for Pancreatic Cancer Associated With the Use of Semaglutide in Patients With Type 2 Diabetes - A Cohort Study Based on Nordic Registry Data,NA,COMPLETED,OBSERVATIONAL,194928,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Ozempic®|Active Comparator|Rybelsus®,no,2021-01-26,2025-11-25,semaglutide,semaglutide,semaglutide,no
NCT03061214,Efficacy and Safety of Semaglutide Once-weekly Versus Sitagliptin Once-daily as add-on to Metformin in Subjects With Type 2 Diabetes (SUSTAIN - CHINA MRCT),PHASE3,COMPLETED,INTERVENTIONAL,868,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",Semaglutide 0.5 mg|Semaglutide 1.0 mg|Sitagliptin placebo|Sitagliptin|Semaglutide placebo 0.5 mg|Semaglutide placebo 1.0 mg,yes,2017-08-28,2019-03-14,semaglutide,semaglutide,semaglutide,no
NCT05193578,Home-based Intervention With Semaglutide Treatment Of Neuroleptica-Related Prediabetes,PHASE2,COMPLETED,INTERVENTIONAL,154,Jan Frystyk,OTHER,Schizophrenia|Prediabetic State,"Semaglutide, 1.34 mg/mL|Placebo",no,2022-01-01,2024-03-18,semaglutide,semaglutide,semaglutide,no
NCT07617155,GLP-1 Agonists for Prevention of Recurrent Hypertriglyceridemic Acute Pancreatitis,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,396,Peking Union Medical College Hospital,OTHER,Hypertriglyceridemia Induced Acute Pancreatitis|Recurrent Acute Pancreatitis|Pancreatitis Relapsing|Hypertriglyceridemia,Semaglutide|Placebo (Normal Saline),no,2026-09,2028-09,semaglutide,semaglutide,semaglutide,no
NCT05443191,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in Finland, as Part of Local Clinical Practice",NA,COMPLETED,OBSERVATIONAL,50,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide,no,2022-10-20,2023-04-27,semaglutide,semaglutide,semaglutide,no
NCT07064486,A Study of BGM0504 in Participants With Type 2 Diabetes in Indonesia,PHASE3,RECRUITING,INTERVENTIONAL,477,"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY,Type 2 Diabetes (T2DM),BGM0504|BGM0504|Semaglutide,no,2025-07-04,2026-07-31,semaglutide,semaglutide,semaglutide,no
NCT05746039,Feasibility of Semaglutide in Advanced Lung Disease,PHASE1|PHASE2,RECRUITING,INTERVENTIONAL,8,University of Pennsylvania,OTHER,"Obesity|Interstitial Lung Disease|Chronic Obstructive Pulmonary Disease|Sarcoidosis, Pulmonary|Pulmonary Hypertension",Semaglutide Pen Injector,no,2024-01-29,2027-12-28,semaglutide,semaglutide,semaglutide,no
NCT06042153,DIALYSIS-TIR Study,PHASE4,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,43,University of Texas Southwestern Medical Center,OTHER,Type 2 Diabetes|End Stage Renal Disease on Dialysis,Semaglutide|Placebo,no,2023-12-05,2027-09,semaglutide,semaglutide,semaglutide,no
NCT04982575,Research Study to Look at How Well Cagrilintide Together With Semaglutide Works in People With Type 2 Diabetes,PHASE2,COMPLETED,INTERVENTIONAL,92,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide 2.4 mg|Cagrilintide 2.4 mg|Placebo (semaglutide)|Placebo (cagrilintide),yes,2021-08-02,2022-07-07,semaglutide,semaglutide,semaglutide,no
NCT03010475,A Trial Investigating the Effect of Oral Semaglutide on the Pharmacokinetics of Furosemide and Rosuvastatin in Healthy Subjects,PHASE1,COMPLETED,INTERVENTIONAL,41,Novo Nordisk A/S,INDUSTRY,Diabetes|Healthy,Furosemide|Rosuvastatin|SNAC|Semaglutide,no,2017-01-05,2017-06-04,semaglutide,semaglutide,semaglutide,no
NCT05649137,A Research Study to See How Semaglutide Helps People With Excess Weight and Type 2 Diabetes Lose Weight,PHASE3,COMPLETED,INTERVENTIONAL,512,Novo Nordisk A/S,INDUSTRY,"Obesity|Diabetes Mellitus, Type 2",Semaglutide|Semaglutide|Placebo,yes,2023-01-04,2024-10-28,semaglutide,semaglutide,semaglutide,no
NCT07589322,Comparative Observation of Metabolic and Pharmacologic Adipose Remodeling With Enhanced Incretin AgonisTs,NA,RECRUITING,INTERVENTIONAL,120,Tri-Service General Hospital (TSGH),OTHER,Obesity and Metabolic Syndrome,Tirzepatide with lifestyle modification|Semaglutide with lifestyle modification,no,2026-03-31,2028-09-30,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT07702461,Determination of Resistance Training Status for Patients on Glucagon-Like Peptide-1 Receptor Agonists,NA,RECRUITING,OBSERVATIONAL,300,Ohio State University,OTHER,Obesity & Overweight|Diabetes (DM),Glucagon-Like Peptide-1 Agonist (GLP-1),no,2026-06-12,2026-10,dulaglutide;tirzepatide;liraglutide;semaglutide,dulaglutide,dulaglutide,yes
NCT07239570,A Biomarker-targeted Clinical Trial to Optimize Treatment for Patients With Chronic Kidney Disease,PHASE4,RECRUITING,INTERVENTIONAL,125,Peter Rossing,OTHER,Chronic Kidney Disease(CKD),Dapagliflozin|Semaglutide|Finerenone,no,2025-06-20,2028-06,semaglutide,semaglutide,semaglutide,no
NCT03707990,A Research Study of NNC0165-1875 Alone or Together With Semaglutide in People Who Are Overweight or Obese,PHASE1,COMPLETED,INTERVENTIONAL,88,Novo Nordisk A/S,INDUSTRY,Obesity and Overweight,NNC0165-1875|Placebo (NNC0165-1875)|Semaglutide,no,2018-10-15,2019-08-13,semaglutide,semaglutide,semaglutide,no
